product_id,product_name,category,price
1,Product_1,Chemicals,480.42
2,Product_2,Equipment,999.4
3,Product_3,Chemicals,906.5
4,Product_4,Services,355.58
5,Product_5,Services,294.44
6,Product_6,Services,500.08
7,Product_7,Services,115.62
8,Product_8,Chemicals,156.84
9,Product_9,Chemicals,440.55
10,Product_10,Chemicals,920.08
11,Product_11,Services,614.84
12,Product_12,Services,677.47
13,Product_13,Services,188.63
14,Product_14,Chemicals,370.4
15,Product_15,Equipment,219.53
16,Product_16,Services,882.9
17,Product_17,Equipment,808.51
18,Product_18,Services,232.19
19,Product_19,Services,498.71
20,Product_20,Equipment,963.61
21,Product_21,Services,645.83
22,Product_22,Chemicals,660.13
23,Product_23,Equipment,491.05
24,Product_24,Chemicals,314.73
25,Product_25,Services,215.91
26,Product_26,Equipment,587.77
27,Product_27,Equipment,374.53
28,Product_28,Chemicals,766.78
29,Product_29,Equipment,115.96
30,Product_30,Services,767.59
31,Product_31,Equipment,515.59
32,Product_32,Chemicals,413.82
33,Product_33,Chemicals,974.25
34,Product_34,Services,820.84
35,Product_35,Equipment,403.83
36,Product_36,Chemicals,404.81
37,Product_37,Services,220.45
38,Product_38,Chemicals,258.66
39,Product_39,Services,828.7
40,Product_40,Equipment,757.85
41,Product_41,Services,449.21
42,Product_42,Equipment,713.37
43,Product_43,Chemicals,537.13
44,Product_44,Chemicals,226.41
45,Product_45,Equipment,640.94
46,Product_46,Chemicals,234.05
47,Product_47,Services,109.7
48,Product_48,Services,907.93
49,Product_49,Equipment,347.53
50,Product_50,Services,983.41
